YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2021-02,WEEKENDS/HOLIDAY,9,TRAIN,EW23,12266,10607
2021-02,WEEKENDS/HOLIDAY,21,TRAIN,DT34,454,1341
2021-02,WEEKDAY,21,TRAIN,DT34,1517,2630
2021-02,WEEKDAY,15,TRAIN,NS5,16972,23031
2021-02,WEEKENDS/HOLIDAY,15,TRAIN,NS5,9662,10703
2021-02,WEEKENDS/HOLIDAY,11,TRAIN,DT13,1859,3747
2021-02,WEEKDAY,11,TRAIN,DT13,3999,8999
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,DT27,1143,1913
2021-02,WEEKDAY,20,TRAIN,DT27,4453,4184
2021-02,WEEKDAY,20,TRAIN,SW3,766,2467
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,SW3,385,941
2021-02,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3,6231,4604
2021-02,WEEKDAY,14,TRAIN,EW16/NE3,17796,19629
2021-02,WEEKDAY,19,TRAIN,EW26,19703,48557
2021-02,WEEKENDS/HOLIDAY,19,TRAIN,EW26,9096,13127
2021-02,WEEKDAY,6,TRAIN,BP3,9695,1030
2021-02,WEEKENDS/HOLIDAY,6,TRAIN,BP3,987,199
2021-02,WEEKDAY,13,TRAIN,EW12/DT14,35787,44684
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,18708,31523
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,CG2,1354,2347
2021-02,WEEKDAY,8,TRAIN,CG2,3239,10115
2021-02,WEEKENDS/HOLIDAY,20,TRAIN,NE13,5002,7038
2021-02,WEEKDAY,20,TRAIN,NE13,11309,17464
2021-02,WEEKDAY,19,TRAIN,NS17/CC15,14293,15886
2021-02,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,4392,3719
2021-02,WEEKENDS/HOLIDAY,23,TRAIN,CC17,135,441
2021-02,WEEKDAY,23,TRAIN,CC17,205,971
2021-02,WEEKENDS/HOLIDAY,10,TRAIN,DT18,718,2071
2021-02,WEEKDAY,10,TRAIN,DT18,2782,13208
2021-02,WEEKDAY,19,TRAIN,EW23,42705,48888
2021-02,WEEKENDS/HOLIDAY,19,TRAIN,EW23,13490,14999
2021-02,WEEKENDS/HOLIDAY,14,TRAIN,EW15,6730,6216
2021-02,WEEKDAY,14,TRAIN,EW15,19298,16608
2021-02,WEEKENDS/HOLIDAY,23,TRAIN,EW12/DT14,7021,1641
2021-02,WEEKDAY,23,TRAIN,EW12/DT14,12967,4089
2021-02,WEEKENDS/HOLIDAY,10,TRAIN,NS4/BP1,12649,8986
2021-02,WEEKDAY,10,TRAIN,NS4/BP1,23698,16531
2021-02,WEEKDAY,22,TRAIN,NS5,7018,21214
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,NS5,3858,9887
2021-02,WEEKENDS/HOLIDAY,22,TRAIN,SE3,216,1164
2021-02,WEEKDAY,22,TRAIN,SE3,302,2433
2021-02,WEEKENDS/HOLIDAY,7,TRAIN,NS15,3947,3389
2021-02,WEEKDAY,7,TRAIN,NS15,31616,57715
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,EW30,808,209
2021-02,WEEKDAY,12,TRAIN,EW30,1291,604
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,NE11,2138,1510
2021-02,WEEKDAY,12,TRAIN,NE11,3137,2613
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,PE5,2024,570
2021-02,WEEKDAY,8,TRAIN,PE5,8537,2505
2021-02,WEEKDAY,9,TRAIN,CC11,3778,30195
2021-02,WEEKENDS/HOLIDAY,9,TRAIN,CC11,1125,3518
2021-02,WEEKDAY,0,TRAIN,SE1,21,371
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,SE1,27,193
2021-02,WEEKDAY,12,TRAIN,NS14,22245,13447
2021-02,WEEKENDS/HOLIDAY,12,TRAIN,NS14,12856,7841
2021-02,WEEKENDS/HOLIDAY,14,TRAIN,SE4,1340,1175
2021-02,WEEKDAY,14,TRAIN,SE4,2648,3021
2021-02,WEEKENDS/HOLIDAY,23,TRAIN,EW11,1518,1832
2021-02,WEEKDAY,23,TRAIN,EW11,2778,3404
2021-02,WEEKDAY,6,TRAIN,BP13,4552,546
2021-02,WEEKENDS/HOLIDAY,6,TRAIN,BP13,397,73
2021-02,WEEKDAY,23,TRAIN,EW8/CC9,8859,7188
2021-02,WEEKENDS/HOLIDAY,23,TRAIN,EW8/CC9,4093,3853
2021-02,WEEKENDS/HOLIDAY,9,TRAIN,SW2,1514,800
2021-02,WEEKDAY,9,TRAIN,SW2,3622,1694
2021-02,WEEKENDS/HOLIDAY,21,TRAIN,CC4/DT15,8736,852
2021-02,WEEKDAY,21,TRAIN,CC4/DT15,17134,1228
2021-02,WEEKENDS/HOLIDAY,0,TRAIN,NE15,22,604
2021-02,WEEKDAY,0,TRAIN,NE15,36,973
2021-02,WEEKENDS/HOLIDAY,6,TRAIN,EW5,5229,1977
2021-02,WEEKDAY,6,TRAIN,EW5,32174,12975
2021-02,WEEKDAY,16,TRAIN,EW30,4642,215
2021-02,WEEKENDS/HOLIDAY,16,TRAIN,EW30,1391,244
2021-02,WEEKENDS/HOLIDAY,9,TRAIN,BP8,570,633
2021-02,WEEKDAY,9,TRAIN,BP8,1385,1570
2021-02,WEEKDAY,13,TRAIN,CC19/DT9,4123,4697
2021-02,WEEKENDS/HOLIDAY,13,TRAIN,CC19/DT9,3290,3898
2021-02,WEEKDAY,8,TRAIN,DT23,2533,9667
2021-02,WEEKENDS/HOLIDAY,8,TRAIN,DT23,360,769
