"BUS_STOP_N,C,65","BUS_ROOF_N,C,10","LOC_DESC,C,254"
22459,B10,BLK 643
16061,B27,OPP HENG MUI KENG TERR
82009,NIL,EUNOS INT
41119,B02,OPP LUTHERAN TWRS
58049,B28,OPP BLK 590C
51049,B18,SLF CPLX
14171,B11,OPP YEO'S BLDG
46799,B04,BLK 786A CP
58321,B01,BET BLKS 357/359
93091,B05,OPP SIGLAP STH CC
43509,B01,BLK 291E
23199,B06,S'PORE TPT PTE LTD
17241,B01,BLK 334
84471,B15,BLK 745
59249,B13,BLK 257
21371,B02,BLK 680C
47129,B04,LIAN AIK SIONG MACHINERY
27091,B16,OPP BLK 271 CP
77281,B21,BLK 740
26151,B05,OPP HEMPEL
96169,B04,SIMEI STN
22079,B08,AFT JURONG PIER RD
20101,B19,NAN HUA PR SCH
44211,B05,BLK 127
31011,B10,AFT NANYANG AVE
41131,B03,OPP THE JAPANESE ASSN
29029,B05,BEF PENJURU CL
16071,B27,OPP PASIR PANJANG PO
01219,B12,BLK 461
22219,B05,AFT NEYTHAL RD
21301,B02,OPP JLN PESAWAT
76059,B04,OPP OUR TAMPINES HUB
93039,B16,LAGUNA PK
76461,B02,EDEN CONDO
18209,B01,BEF ALL SAINTS CHAPEL
67261,B07,BLK 203B
65309,NIL,DAMAI STN EXIT A
70041,B02,OPP BLK 4
52249,B01,AFT CALDECOTT STN
47611,B11,WOODSVALE CONDO
04142,B04,ARMENIAN CH
21451,B06,BLK 206
59061,B07,BLK 763
95029,B01,CHANGI AIRPORT PTB1
46049,B36,GLOBALFOUNDRIES
85061,B09,OPP BEDOK MKT PL
21609,B10,OPP BLK 364
22249,B02,BLK 622
20189,B03,OPP AYER RAJAH CC
99041,B21,AFT CHANGI GOLF COURSE
53039,B06,THOMSON CC
20069,B01,BEF JURONG TOWN HALL RD
63371,B11,BLK 679
28279,B16,BLK 114
97201,B09,OPP CHANGI CHAPEL MUSEUM
52159,B07,BLK 128
59349,B01,OPP KHOO TECK PUAT HOSP
55309,B04,OPP AMK POLICE DIV HQ
30029,B21,KEAT HONG CAMP
44691,B01,BLK 485
54589,B08,BLK 555
26311,NIL,AFT TUAS STH AVE 6
50301,B01,KENTISH GREEN
44089,B03,OPP BLK 296A
64239,B01,OPP BLK 316
65251,B01,PUNGGOL STN / WATERWAY PT
11171,B03,OPP BLK 7B
28581,B07,BLK 491
54491,B12,AFT CTE
24571,B03,SENG HENG ENGRG
65219,NIL,AFT PUNGGOL CENTRAL
62071,B04,BARTLEY STN EXIT A
03111,B05,AFT CAPITAL TWR
29129,B02,CLP INTL
50121,B03,NATL SKIN CTR
55311,B01,OPP YIO CHU KANG STADIUM
03021,B01,PRUDENTIAL TWR
24559,B07,HQ 6 DIV
21591,B07,OPP BLK 117
57131,B19,OPP JLN KEMUNING
05259,B01,AFT KRETA AYER RD
55319,B02,YIO CHU KANG STADIUM
10341,B04,OPP BLK 116
11459,B04,BLK 50
46801,NIL,AFT W'LANDS MART
02061,B01,THE ESPLANADE
10369,B05,OPP CENDEX CTR
64069,B36,S'GOON SEC SCH
47701,NIL,JB SENTRAL
65321,NIL,KADALOOR STN EXIT B
64529,B02A,BEF HOUGANG POLYCLINIC
53401,B04,GUANGYANG SEC SCH
17039,B06,OPP KENT RIDGE SEC SCH
75319,B04,OPP TAMPINES DORMITORY
53191,B07,BLK 7 IND EST
71049,B12,AIR FORCE MUSEUM
